City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Balgazyn,RU,51.0,95.2,49.06,77,88,1.36,overcast clouds
278,West Lafayette,US,40.4259,-86.9081,84.58,70,96,5.73,overcast clouds
279,Young,UY,-32.6833,-57.6333,53.22,82,30,11.5,scattered clouds
280,Pemangkat,ID,1.1667,108.9667,78.73,87,74,5.46,broken clouds
281,Grand Gaube,MU,-20.0064,57.6608,72.0,83,40,1.99,light rain
282,Monroe,US,43.1501,-77.6831,63.99,61,75,10.36,broken clouds
283,Quesnel,CA,52.9999,-122.5029,72.46,36,98,6.62,overcast clouds
284,Jalu,LY,29.0331,21.5482,74.68,14,0,5.53,clear sky
285,Fairbanks,US,64.8378,-147.7164,57.6,39,1,6.91,clear sky
286,Geraldton,AU,-28.7667,114.6,63.01,61,75,17.9,broken clouds
287,Jizan,SA,17.3333,42.6667,90.5,34,2,5.26,clear sky
288,Koumac,NC,-20.5667,164.2833,74.86,60,44,13.78,scattered clouds
289,Itaituba,BR,-4.2761,-55.9836,76.82,79,93,1.97,overcast clouds
290,Poum,NC,-20.2333,164.0167,73.94,65,35,17.56,scattered clouds
291,Qostanay,KZ,53.1667,63.5833,70.9,46,33,6.13,scattered clouds
292,Mount Isa,AU,-20.7333,139.5,74.97,46,1,12.66,clear sky
293,Soskovo,RU,52.7475,35.3828,48.36,87,50,6.24,light rain
294,Opuwo,NA,-18.0607,13.84,63.63,37,0,7.83,clear sky
295,Leningradskiy,RU,69.3833,178.4167,32.31,85,67,0.6,broken clouds
296,Khao Yoi,TH,13.2403,99.8243,85.98,65,82,0.34,broken clouds
297,Utete,TZ,-7.986,38.758,66.07,84,36,1.25,scattered clouds
298,Watsa,CD,3.0372,29.5355,63.52,99,85,2.8,light rain
299,Maraa,BR,-1.8333,-65.3667,75.58,95,96,2.19,overcast clouds
300,Colares,PT,38.7992,-9.4469,60.33,73,6,13.0,clear sky
301,Odienne,CI,9.51,-7.5692,75.87,67,76,3.36,light rain
302,Fortuna,US,40.5982,-124.1573,76.48,63,1,4.0,clear sky
303,Seymchan,RU,62.8833,152.4333,52.56,46,20,0.74,few clouds
304,Isla Vista,US,34.4133,-119.861,82.35,47,1,6.91,clear sky
305,San Rafael,AR,-34.6177,-68.3301,52.68,43,1,7.94,clear sky
306,Asfi,MA,32.2994,-9.2372,60.78,66,1,27.27,clear sky
307,Saldanha,ZA,-33.0117,17.9442,62.71,56,46,11.95,scattered clouds
308,Maldonado,UY,-34.6667,-54.9167,58.39,88,100,25.3,overcast clouds
309,Nakhodka,RU,42.8333,132.8947,54.1,96,100,5.88,overcast clouds
310,Ino,JP,33.55,133.4333,69.33,84,97,2.42,light rain
311,Georgetown,MY,5.4112,100.3354,82.89,84,20,4.54,few clouds
312,Hami,CN,42.8,93.45,66.99,17,0,3.49,clear sky
313,Palmer,US,42.1584,-72.3287,71.15,63,75,1.01,broken clouds
314,Darhan,MN,49.4867,105.9228,45.21,42,6,7.58,clear sky
315,Buraydah,SA,26.326,43.975,83.66,25,89,4.12,overcast clouds
316,Matamoros,MX,25.5333,-103.25,86.11,40,90,33.96,overcast clouds
317,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.69,85,75,3.18,broken clouds
318,Erzin,TR,36.9559,36.2,70.52,59,21,2.57,few clouds
319,Phayao,TH,19.25,100.25,80.42,68,88,2.84,overcast clouds
320,Severo-Kurilsk,RU,50.6789,156.125,46.44,64,31,11.9,scattered clouds
321,Lakes Entrance,AU,-37.8811,147.981,53.19,48,54,3.96,broken clouds
